congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
107,House,100,Democrat,214,-0.3845,-0.0325,-0.37683644859813054,0.0398878504672897
107,House,200,Republican,228,0.402,0.0085,0.40979824561403505,-0.028666666666666684
107,House,328,Independent,2,0.025499999999999967,0.07,0.025499999999999967,0.07
108,President,200,Republican,1,0.693,-0.539,0.693,-0.539
108,House,100,Democrat,208,-0.3825,-0.036000000000000004,-0.3762211538461536,0.04780769230769228
108,House,200,Republican,231,0.402,0.021,0.4168181818181821,-0.009848484848484846
108,House,328,Independent,1,-0.532,-0.401,-0.532,-0.401
109,President,200,Republican,1,0.693,-0.539,0.693,-0.539
109,House,100,Democrat,203,-0.391,-0.04,-0.38717733990147774,0.03109852216748768
109,House,200,Republican,236,0.409,0.022,0.42291489361702167,-0.0016510638297872365
109,House,328,Independent,1,-0.532,-0.401,-0.532,-0.401
110,President,200,Republican,1,0.693,-0.539,0.693,-0.539
110,House,100,Democrat,246,-0.3795,-0.0075,-0.36794214876033043,0.0447479338842975
110,House,200,Republican,207,0.4255,0.0605,0.4397427184466022,0.02824271844660194
111,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
111,House,100,Democrat,269,-0.35,-0.007,-0.3481292775665397,0.03912927756653991
111,House,200,Republican,183,0.442,0.061,0.45651366120218617,0.030945355191256824
111,House,328,Independent,2,,,,
112,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
112,House,100,Democrat,200,-0.3975,-0.0745,-0.39313500000000007,-0.032650000000000005
112,House,200,Republican,245,0.467,0.047,0.4682408163265306,0.034963265306122454
113,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
113,House,100,Democrat,204,-0.3935,-0.0785,-0.38436274509803936,-0.0707794117647059
113,House,200,Republican,240,0.4905,0.0865,0.483225,0.044733333333333326
114,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
114,House,100,Democrat,190,-0.399,-0.0785,-0.3950631578947369,-0.07776842105263158
114,House,200,Republican,251,0.49,0.077,0.48118326693227087,0.04302788844621513
115,President,200,Republican,1,0.403,0.162,0.403,0.162
115,House,100,Democrat,200,-0.3955,-0.07,-0.39089500000000016,-0.05530500000000001
115,House,200,Republican,250,0.5,0.076,0.49021599999999993,0.03980000000000001
116,President,200,Republican,1,0.403,0.162,0.403,0.162
116,House,100,Democrat,241,-0.376,-0.008,-0.3697966101694916,0.005614406779661011
116,House,200,Republican,208,0.5135000000000001,0.1005,0.5025097087378639,0.05914077669902913
116,House,328,Independent,2,0.359,-0.933,0.359,-0.933
117,President,100,Democrat,1,-0.32,0.283,-0.32,0.283
117,President,200,Republican,1,0.403,0.162,0.403,0.162
117,House,100,Democrat,226,-0.381,-0.028499999999999998,-0.381349557522124,-0.029915929203539814
117,House,200,Republican,215,0.505,0.115,0.5051255813953487,0.07620465116279074
